name,demand,service,from_,to,coord,is_depot,step
5,3,90.0,727.0,782.0,"(42.0, 68.0)",False,2
17,7,90.0,475.0,528.0,"(20.0, 85.0)",False,5
26,21,90.0,169.0,224.0,"(25.0, 52.0)",False,7
18,25,90.0,99.0,148.0,"(18.0, 75.0)",False,8
6,27,90.0,15.0,67.0,"(42.0, 65.0)",False,9
17,4,90.0,475.0,528.0,"(20.0, 85.0)",False,10
17,7,90.0,475.0,528.0,"(20.0, 85.0)",False,11
23,30,90.0,812.0,883.0,"(28.0, 52.0)",False,12
2,17,90.0,912.0,967.0,"(45.0, 68.0)",False,14
24,0,90.0,732.0,777.0,"(28.0, 55.0)",False,16
25,1,90.0,65.0,144.0,"(25.0, 50.0)",False,18
23,31,90.0,812.0,883.0,"(28.0, 52.0)",False,19
20,12,90.0,278.0,345.0,"(15.0, 80.0)",False,23
16,3,90.0,384.0,429.0,"(20.0, 80.0)",False,24
17,8,90.0,475.0,528.0,"(20.0, 85.0)",False,25
16,39,90.0,384.0,429.0,"(20.0, 80.0)",False,26
11,26,90.0,357.0,410.0,"(35.0, 66.0)",False,28
14,29,90.0,30.0,92.0,"(22.0, 75.0)",False,30
2,21,90.0,912.0,967.0,"(45.0, 68.0)",False,31
7,31,90.0,621.0,702.0,"(40.0, 69.0)",False,32
27,38,90.0,622.0,701.0,"(25.0, 55.0)",False,33
12,2,90.0,448.0,505.0,"(35.0, 69.0)",False,36
8,35,90.0,170.0,225.0,"(40.0, 66.0)",False,37
8,8,90.0,170.0,225.0,"(40.0, 66.0)",False,39
20,8,90.0,278.0,345.0,"(15.0, 80.0)",False,40
25,38,90.0,65.0,144.0,"(25.0, 50.0)",False,41
32,13,90.0,200.0,237.0,"(10.0, 35.0)",False,42
9,11,90.0,255.0,324.0,"(38.0, 68.0)",False,46
34,23,90.0,87.0,158.0,"(8.0, 40.0)",False,48
28,23,90.0,261.0,316.0,"(23.0, 52.0)",False,49
4,30,90.0,65.0,146.0,"(42.0, 66.0)",False,50
28,37,90.0,261.0,316.0,"(23.0, 52.0)",False,51
20,30,90.0,278.0,345.0,"(15.0, 80.0)",False,52
9,13,90.0,255.0,324.0,"(38.0, 68.0)",False,53
29,29,90.0,546.0,593.0,"(23.0, 55.0)",False,55
14,2,90.0,30.0,92.0,"(22.0, 75.0)",False,56
24,11,90.0,732.0,777.0,"(28.0, 55.0)",False,58
30,30,90.0,358.0,405.0,"(20.0, 50.0)",False,59
26,20,90.0,169.0,224.0,"(25.0, 52.0)",False,60
31,25,90.0,449.0,504.0,"(20.0, 55.0)",False,61
4,36,90.0,65.0,146.0,"(42.0, 66.0)",False,62
15,28,90.0,567.0,620.0,"(22.0, 85.0)",False,63
25,20,90.0,65.0,144.0,"(25.0, 50.0)",False,64
6,37,90.0,15.0,67.0,"(42.0, 65.0)",False,66
29,7,90.0,546.0,593.0,"(23.0, 55.0)",False,67
26,6,90.0,169.0,224.0,"(25.0, 52.0)",False,69
20,20,90.0,278.0,345.0,"(15.0, 80.0)",False,70
27,12,90.0,622.0,701.0,"(25.0, 55.0)",False,73
33,15,90.0,31.0,100.0,"(10.0, 40.0)",False,74
29,31,90.0,546.0,593.0,"(23.0, 55.0)",False,76
20,31,90.0,278.0,345.0,"(15.0, 80.0)",False,77
16,37,90.0,384.0,429.0,"(20.0, 80.0)",False,78
22,15,90.0,914.0,965.0,"(30.0, 52.0)",False,79
27,16,90.0,622.0,701.0,"(25.0, 55.0)",False,82
21,10,90.0,10.0,73.0,"(30.0, 50.0)",False,83
3,39,90.0,825.0,870.0,"(45.0, 70.0)",False,84
5,19,90.0,727.0,782.0,"(42.0, 68.0)",False,85
22,40,90.0,914.0,965.0,"(30.0, 52.0)",False,86
26,20,90.0,169.0,224.0,"(25.0, 52.0)",False,87
27,32,90.0,622.0,701.0,"(25.0, 55.0)",False,88
2,1,90.0,912.0,967.0,"(45.0, 68.0)",False,89
20,13,90.0,278.0,345.0,"(15.0, 80.0)",False,90
30,17,90.0,358.0,405.0,"(20.0, 50.0)",False,91
9,18,90.0,255.0,324.0,"(38.0, 68.0)",False,92
17,13,90.0,475.0,528.0,"(20.0, 85.0)",False,93
30,12,90.0,358.0,405.0,"(20.0, 50.0)",False,95
19,19,90.0,179.0,254.0,"(15.0, 75.0)",False,96
19,14,90.0,179.0,254.0,"(15.0, 75.0)",False,97
7,28,90.0,621.0,702.0,"(40.0, 69.0)",False,98
