name,demand,service,from_,to,coord,is_depot,step
9,34,90.0,255.0,324.0,"(38.0, 68.0)",False,1
30,31,90.0,358.0,405.0,"(20.0, 50.0)",False,2
11,36,90.0,357.0,410.0,"(35.0, 66.0)",False,3
25,5,90.0,65.0,144.0,"(25.0, 50.0)",False,4
12,12,90.0,448.0,505.0,"(35.0, 69.0)",False,5
17,5,90.0,475.0,528.0,"(20.0, 85.0)",False,6
32,18,90.0,200.0,237.0,"(10.0, 35.0)",False,8
14,33,90.0,30.0,92.0,"(22.0, 75.0)",False,12
7,22,90.0,621.0,702.0,"(40.0, 69.0)",False,13
22,30,90.0,914.0,965.0,"(30.0, 52.0)",False,16
25,35,90.0,65.0,144.0,"(25.0, 50.0)",False,18
29,6,90.0,546.0,593.0,"(23.0, 55.0)",False,19
11,24,90.0,357.0,410.0,"(35.0, 66.0)",False,23
5,28,90.0,727.0,782.0,"(42.0, 68.0)",False,25
20,30,90.0,278.0,345.0,"(15.0, 80.0)",False,26
6,15,90.0,15.0,67.0,"(42.0, 65.0)",False,27
2,26,90.0,912.0,967.0,"(45.0, 68.0)",False,28
14,32,90.0,30.0,92.0,"(22.0, 75.0)",False,29
18,16,90.0,99.0,148.0,"(18.0, 75.0)",False,31
15,26,90.0,567.0,620.0,"(22.0, 85.0)",False,32
22,5,90.0,914.0,965.0,"(30.0, 52.0)",False,33
8,30,90.0,170.0,225.0,"(40.0, 66.0)",False,34
19,30,90.0,179.0,254.0,"(15.0, 75.0)",False,36
26,14,90.0,169.0,224.0,"(25.0, 52.0)",False,37
28,36,90.0,261.0,316.0,"(23.0, 52.0)",False,38
18,18,90.0,99.0,148.0,"(18.0, 75.0)",False,41
21,37,90.0,10.0,73.0,"(30.0, 50.0)",False,42
32,9,90.0,200.0,237.0,"(10.0, 35.0)",False,44
18,31,90.0,99.0,148.0,"(18.0, 75.0)",False,46
18,16,90.0,99.0,148.0,"(18.0, 75.0)",False,47
23,25,90.0,812.0,883.0,"(28.0, 52.0)",False,48
4,33,90.0,65.0,146.0,"(42.0, 66.0)",False,49
13,12,90.0,652.0,721.0,"(25.0, 85.0)",False,50
17,38,90.0,475.0,528.0,"(20.0, 85.0)",False,51
30,31,90.0,358.0,405.0,"(20.0, 50.0)",False,53
3,40,90.0,825.0,870.0,"(45.0, 70.0)",False,54
30,23,90.0,358.0,405.0,"(20.0, 50.0)",False,57
4,37,90.0,65.0,146.0,"(42.0, 66.0)",False,59
3,39,90.0,825.0,870.0,"(45.0, 70.0)",False,61
6,33,90.0,15.0,67.0,"(42.0, 65.0)",False,64
19,7,90.0,179.0,254.0,"(15.0, 75.0)",False,65
12,27,90.0,448.0,505.0,"(35.0, 69.0)",False,67
12,12,90.0,448.0,505.0,"(35.0, 69.0)",False,68
2,1,90.0,912.0,967.0,"(45.0, 68.0)",False,69
7,16,90.0,621.0,702.0,"(40.0, 69.0)",False,70
26,30,90.0,169.0,224.0,"(25.0, 52.0)",False,71
28,23,90.0,261.0,316.0,"(23.0, 52.0)",False,72
10,34,90.0,534.0,605.0,"(38.0, 70.0)",False,73
20,27,90.0,278.0,345.0,"(15.0, 80.0)",False,74
8,35,90.0,170.0,225.0,"(40.0, 66.0)",False,75
34,3,90.0,87.0,158.0,"(8.0, 40.0)",False,76
30,15,90.0,358.0,405.0,"(20.0, 50.0)",False,77
18,20,90.0,99.0,148.0,"(18.0, 75.0)",False,78
33,0,90.0,31.0,100.0,"(10.0, 40.0)",False,79
25,30,90.0,65.0,144.0,"(25.0, 50.0)",False,80
19,10,90.0,179.0,254.0,"(15.0, 75.0)",False,81
12,36,90.0,448.0,505.0,"(35.0, 69.0)",False,82
25,15,90.0,65.0,144.0,"(25.0, 50.0)",False,83
16,30,90.0,384.0,429.0,"(20.0, 80.0)",False,84
4,19,90.0,65.0,146.0,"(42.0, 66.0)",False,85
34,16,90.0,87.0,158.0,"(8.0, 40.0)",False,87
17,17,90.0,475.0,528.0,"(20.0, 85.0)",False,88
10,5,90.0,534.0,605.0,"(38.0, 70.0)",False,91
4,21,90.0,65.0,146.0,"(42.0, 66.0)",False,92
18,30,90.0,99.0,148.0,"(18.0, 75.0)",False,93
30,18,90.0,358.0,405.0,"(20.0, 50.0)",False,94
19,23,90.0,179.0,254.0,"(15.0, 75.0)",False,95
19,37,90.0,179.0,254.0,"(15.0, 75.0)",False,96
32,30,90.0,200.0,237.0,"(10.0, 35.0)",False,98
20,36,90.0,278.0,345.0,"(15.0, 80.0)",False,99
