name,demand,service,from_,to,coord,is_depot,step
2,36,90.0,912.0,967.0,"(45.0, 68.0)",False,4
23,30,90.0,812.0,883.0,"(28.0, 52.0)",False,6
14,37,90.0,30.0,92.0,"(22.0, 75.0)",False,7
30,23,90.0,358.0,405.0,"(20.0, 50.0)",False,8
21,18,90.0,10.0,73.0,"(30.0, 50.0)",False,10
5,30,90.0,727.0,782.0,"(42.0, 68.0)",False,11
7,21,90.0,621.0,702.0,"(40.0, 69.0)",False,13
21,5,90.0,10.0,73.0,"(30.0, 50.0)",False,14
19,17,90.0,179.0,254.0,"(15.0, 75.0)",False,15
20,16,90.0,278.0,345.0,"(15.0, 80.0)",False,16
19,19,90.0,179.0,254.0,"(15.0, 75.0)",False,19
27,30,90.0,622.0,701.0,"(25.0, 55.0)",False,21
16,15,90.0,384.0,429.0,"(20.0, 80.0)",False,22
25,36,90.0,65.0,144.0,"(25.0, 50.0)",False,23
22,10,90.0,914.0,965.0,"(30.0, 52.0)",False,24
21,30,90.0,10.0,73.0,"(30.0, 50.0)",False,25
25,0,90.0,65.0,144.0,"(25.0, 50.0)",False,28
12,20,90.0,448.0,505.0,"(35.0, 69.0)",False,29
17,15,90.0,475.0,528.0,"(20.0, 85.0)",False,30
17,3,90.0,475.0,528.0,"(20.0, 85.0)",False,31
20,35,90.0,278.0,345.0,"(15.0, 80.0)",False,33
6,27,90.0,15.0,67.0,"(42.0, 65.0)",False,34
9,34,90.0,255.0,324.0,"(38.0, 68.0)",False,37
20,23,90.0,278.0,345.0,"(15.0, 80.0)",False,38
32,30,90.0,200.0,237.0,"(10.0, 35.0)",False,39
34,16,90.0,87.0,158.0,"(8.0, 40.0)",False,41
21,1,90.0,10.0,73.0,"(30.0, 50.0)",False,42
24,12,90.0,732.0,777.0,"(28.0, 55.0)",False,45
28,27,90.0,261.0,316.0,"(23.0, 52.0)",False,47
22,7,90.0,914.0,965.0,"(30.0, 52.0)",False,48
3,33,90.0,825.0,870.0,"(45.0, 70.0)",False,49
17,39,90.0,475.0,528.0,"(20.0, 85.0)",False,50
10,37,90.0,534.0,605.0,"(38.0, 70.0)",False,51
27,23,90.0,622.0,701.0,"(25.0, 55.0)",False,52
30,40,90.0,358.0,405.0,"(20.0, 50.0)",False,53
11,31,90.0,357.0,410.0,"(35.0, 66.0)",False,54
11,38,90.0,357.0,410.0,"(35.0, 66.0)",False,55
10,12,90.0,534.0,605.0,"(38.0, 70.0)",False,56
2,33,90.0,912.0,967.0,"(45.0, 68.0)",False,57
18,25,90.0,99.0,148.0,"(18.0, 75.0)",False,59
14,16,90.0,30.0,92.0,"(22.0, 75.0)",False,61
2,31,90.0,912.0,967.0,"(45.0, 68.0)",False,62
15,9,90.0,567.0,620.0,"(22.0, 85.0)",False,63
24,37,90.0,732.0,777.0,"(28.0, 55.0)",False,64
3,18,90.0,825.0,870.0,"(45.0, 70.0)",False,66
4,36,90.0,65.0,146.0,"(42.0, 66.0)",False,72
4,14,90.0,65.0,146.0,"(42.0, 66.0)",False,75
13,30,90.0,652.0,721.0,"(25.0, 85.0)",False,76
31,30,90.0,449.0,504.0,"(20.0, 55.0)",False,77
17,5,90.0,475.0,528.0,"(20.0, 85.0)",False,79
13,26,90.0,652.0,721.0,"(25.0, 85.0)",False,82
5,16,90.0,727.0,782.0,"(42.0, 68.0)",False,83
28,32,90.0,261.0,316.0,"(23.0, 52.0)",False,84
6,26,90.0,15.0,67.0,"(42.0, 65.0)",False,86
8,15,90.0,170.0,225.0,"(40.0, 66.0)",False,87
9,30,90.0,255.0,324.0,"(38.0, 68.0)",False,88
24,28,90.0,732.0,777.0,"(28.0, 55.0)",False,89
14,24,90.0,30.0,92.0,"(22.0, 75.0)",False,91
12,6,90.0,448.0,505.0,"(35.0, 69.0)",False,92
30,35,90.0,358.0,405.0,"(20.0, 50.0)",False,93
22,30,90.0,914.0,965.0,"(30.0, 52.0)",False,96
8,22,90.0,170.0,225.0,"(40.0, 66.0)",False,97
11,33,90.0,357.0,410.0,"(35.0, 66.0)",False,98
28,18,90.0,261.0,316.0,"(23.0, 52.0)",False,99
